example_id,subset,pair_type,source_text,target_text,alternate_text,direct_distance,off_manifold_mean,geodesic_length,detour_ratio,dual_path_length,dual_detour_ratio,switch_count,midpoint_label,path_nearest_nodes
151,swap_object,congruent,An attractive young person leads a grey horse through a paddock.,A grey horse is led by an young person who looks attractive through a paddock.,A grey horse leads an attractive young person through a paddock.,0.4121934771537781,0.11449818779213101,0.4121934771537781,1.0,0.37724781760786,1.0317438984206344,1,target,"[417, 417, 417, 417, 417, 107, 107, 107, 107, 107, 107]"
151,swap_object,incongruent,An attractive young person leads a grey horse through a paddock.,A grey horse leads an attractive young person through a paddock.,A grey horse is led by an young person who looks attractive through a paddock.,0.39368680119514465,0.10935744298808853,0.39368680119514465,1.0,0.35117413644006457,1.0264576666393268,1,target,"[417, 417, 417, 417, 417, 108, 108, 108, 108, 108, 108]"
45,swap_object,congruent,A person holding a frisbee in a parking lot near water.,A person in a parking lot close to water is holding a frisbee.,A person near a frisbee in a parking lot holding water.,0.38049912452697754,0.105694198908576,0.38049912452697754,1.0,0.3540217786493025,1.0226145887733833,1,target,"[188, 188, 188, 188, 188, 188, 200, 200, 200, 200, 200]"
45,swap_object,incongruent,A person holding a frisbee in a parking lot near water.,A person near a frisbee in a parking lot holding water.,A person in a parking lot close to water is holding a frisbee.,0.4851573705673218,0.13476593530382802,0.4851573705673218,1.0,0.5338295946441857,1.0542758668827878,1,source,"[188, 188, 188, 188, 188, 188, 234, 234, 234, 234, 234]"
113,swap_object,congruent,Donuts in a box and a type of meat on a plate.,a type of meat is on a plate along with donuts in a box.,A type of meat in a box and donuts on a plate.,0.49505892395973206,0.13751637310075088,0.49505892395973206,1.0,0.5205236542591581,1.0608250470480927,1,target,"[436, 436, 436, 436, 436, 436, 655, 655, 655, 655, 655]"
113,swap_object,incongruent,Donuts in a box and a type of meat on a plate.,A type of meat in a box and donuts on a plate.,a type of meat is on a plate along with donuts in a box.,0.3510763943195343,0.09752121829797061,0.3510763943195343,1.0,0.29840153682044024,1.0168842814093206,1,source,"[436, 436, 436, 436, 436, 363, 363, 363, 363, 363, 363]"
126,swap_object,congruent,A toilet with a black seat next to a shower.,The shower is adjacent to the toilet with a black seat.,A shower with a black seat next to a toilet.,0.5339936017990112,0.14833155894214387,0.5339936017990112,1.0,0.5769281807826159,1.0815405856935154,1,target,"[352, 352, 352, 352, 352, 352, 560, 560, 560, 560, 560]"
126,swap_object,incongruent,A toilet with a black seat next to a shower.,A shower with a black seat next to a toilet.,The shower is adjacent to the toilet with a black seat.,0.4068504273891449,0.11301400735670014,0.4068504273891449,1.0,0.38546008644033075,1.0287170199909081,1,target,"[352, 352, 352, 352, 352, 303, 303, 303, 303, 303, 303]"
234,swap_object,congruent,A girl in a floral dress sitting next to a boy in a blue shirt eating food. ,A girl in a floral dress sits beside a boy in a blue shirt as they eat.,A boy in a floral dress sitting next to a girl in a blue shirt eating food.,0.41252681612968445,0.1145907894595117,0.41252681612968445,1.0,0.39448054479751526,1.0308066436626808,1,source,"[96, 96, 96, 96, 96, 95, 95, 95, 95, 95, 95]"
234,swap_object,incongruent,A girl in a floral dress sitting next to a boy in a blue shirt eating food. ,A boy in a floral dress sitting next to a girl in a blue shirt eating food.,A girl in a floral dress sits beside a boy in a blue shirt as they eat.,0.3953734040260315,0.10982594776291751,0.3953734040260315,1.0,0.3665396447713585,1.0263813010310514,1,source,"[96, 96, 96, 96, 96, 42, 42, 42, 42, 42, 42]"
241,swap_object,congruent,A group of people in a park with a tall clock tower in the background.,A tall clock tower is in the background of a group of people in a park.,A tall clock tower in a park with a group of people in the background.,0.45426005125045776,0.1261833504757867,0.45426005125045776,1.0,0.4575605531209732,1.043260043291424,1,target,"[113, 113, 113, 113, 113, 113, 346, 346, 346, 346, 346]"
241,swap_object,incongruent,A group of people in a park with a tall clock tower in the background.,A tall clock tower in a park with a group of people in the background.,A tall clock tower is in the background of a group of people in a park.,0.45916417241096497,0.12754560603290874,0.45916417241096497,1.0,0.4630509257609316,1.0451471528278706,1,target,"[113, 113, 113, 113, 113, 113, 345, 345, 345, 345, 345]"
31,swap_object,congruent,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,"Two sets of hands, each holding a cell phone, are positioned in front of another hand in the background that is holding a glass.",Two sets of hands are each holding a glass while another hand in the background is holding a cell phone.,0.2638532817363739,0.07329257714938564,0.2638532817363739,1.0,0.17263528550487575,1.0055034716126663,1,target,"[621, 621, 621, 621, 621, 621, 623, 623, 623, 623, 623]"
31,swap_object,incongruent,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,Two sets of hands are each holding a glass while another hand in the background is holding a cell phone.,"Two sets of hands, each holding a cell phone, are positioned in front of another hand in the background that is holding a glass.",0.29395708441734314,0.08165474477710231,0.29395708441734314,1.0,0.21280501215878816,1.0084997731766603,1,target,"[621, 621, 621, 621, 621, 621, 622, 622, 622, 622, 622]"
96,swap_object,congruent,A couple of guys are sitting with their luggage bag as a lady walks on. ,A lady walks on while a couple of guys are sitting with their luggage bag.,A lady is sitting with her luggage bag as a couple of guys walk on.,0.5202263593673706,0.14450731893261853,0.5202263593673706,1.0,0.5855192553653847,1.0722906713662492,1,source,"[81, 81, 81, 81, 81, 81, 143, 143, 143, 143, 143]"
96,swap_object,incongruent,A couple of guys are sitting with their luggage bag as a lady walks on. ,A lady is sitting with her luggage bag as a couple of guys walk on.,A lady walks on while a couple of guys are sitting with their luggage bag.,0.46717607975006104,0.12977113131844895,0.46717607975006104,1.0,0.4988908186690492,1.049606111105656,1,source,"[81, 81, 81, 81, 81, 81, 142, 142, 142, 142, 142]"
36,swap_object,congruent,A statue with two stuffed animals on top of it sitting in a patch of dirt.,A statue  is placed in a patch of dirt with two stuffed animals positioned on top of it.,Two stuffed animals with a statue on top of them sitting in a patch of dirt.,0.3766471743583679,0.10462421289657911,0.3766471743583679,1.0,0.3465262636080359,1.0217283474822305,1,source,"[328, 328, 328, 328, 328, 326, 326, 326, 326, 326, 326]"
36,swap_object,incongruent,A statue with two stuffed animals on top of it sitting in a patch of dirt.,Two stuffed animals with a statue on top of them sitting in a patch of dirt.,A statue  is placed in a patch of dirt with two stuffed animals positioned on top of it.,0.3607548475265503,0.10020967808413478,0.3607548475265503,1.0,0.3205395784326711,1.0183968694602685,1,source,"[328, 328, 328, 328, 328, 328, 625, 625, 625, 625, 625]"
18,swap_object,congruent,Luggage is arranged in groups  on a concrete  platform.,Luggage is placed on a concrete platform and is organized in groups.,A concrete platform is arranged in groups with luggage on it.,0.3284691572189331,0.09124143027669157,0.3284691572189331,1.0,0.2644492863883646,1.0128029563161278,1,source,"[450, 450, 450, 450, 450, 450, 451, 451, 451, 451, 451]"
18,swap_object,incongruent,Luggage is arranged in groups  on a concrete  platform.,A concrete platform is arranged in groups with luggage on it.,Luggage is placed on a concrete platform and is organized in groups.,0.4111786484718323,0.11421629045914167,0.4111786484718323,1.0,0.39761924279936556,1.0299664609480967,1,target,"[450, 450, 450, 450, 450, 76, 76, 76, 76, 76, 76]"
172,swap_object,congruent,A person sits on a bench as people walk down a sidewalk. ,People walk down a sidewalk while a person sits on a bench.,People sit on a bench as a person walks down a sidewalk.,0.6186155676841736,0.17183765245349758,0.6186155676841736,1.0,0.7440728186661525,1.1317798176841005,1,target,"[247, 247, 247, 247, 247, 247, 467, 467, 467, 467, 467]"
172,swap_object,incongruent,A person sits on a bench as people walk down a sidewalk. ,People sit on a bench as a person walks down a sidewalk.,People walk down a sidewalk while a person sits on a bench.,0.4942038059234619,0.13727883951875816,0.4942038059234619,1.0,0.5551407058810895,1.0596798371007112,1,source,"[247, 247, 247, 247, 247, 247, 466, 466, 466, 466, 466]"
227,swap_object,congruent,Vegetable pieces and knife are kept on cutting board. Cabbage is on the table.,"Knife and vegetable pieces are positioned on the cutting board, while cabbage is located on the table.",Vegetable pieces and knife are kept on table. Cabbage is on the cutting board.,0.40094706416130066,0.11137418590371823,0.40094706416130066,1.0,0.38150039208539077,1.0280810948697239,1,source,"[628, 628, 628, 628, 628, 449, 449, 449, 449, 449, 449]"
227,swap_object,incongruent,Vegetable pieces and knife are kept on cutting board. Cabbage is on the table.,Vegetable pieces and knife are kept on table. Cabbage is on the cutting board.,"Knife and vegetable pieces are positioned on the cutting board, while cabbage is located on the table.",0.21688570082187653,0.06024602926276763,0.21688570082187653,1.0,0.11807424118051194,1.002497960127128,1,target,"[628, 628, 628, 628, 628, 628, 629, 629, 629, 629, 629]"
179,swap_object,congruent,A person holds a carrot in their right hand with a beverage in the other.,The person holds a beverage in their left hand and a carrot in their other hand.,A person holds a beverage in their right hand with a carrot in the other.,0.3429059684276581,0.09525165516821461,0.3429059684276581,1.0,0.2567971835864456,1.0156238624338925,1,source,"[196, 196, 196, 196, 196, 196, 548, 548, 548, 548, 548]"
179,swap_object,incongruent,A person holds a carrot in their right hand with a beverage in the other.,A person holds a beverage in their right hand with a carrot in the other.,The person holds a beverage in their left hand and a carrot in their other hand.,0.26756757497787476,0.07432432488578639,0.26756757497787476,1.0,0.16827733672874082,1.005760884691086,1,source,"[196, 196, 196, 196, 196, 195, 195, 195, 195, 195, 195]"
237,swap_object,congruent,A cat looking at a tv monitor on a desk,"The TV monitor is positioned on a desk, and a cat is looking at it.",A tv monitor looking at a cat on a desk.,0.481294721364975,0.13369297768282695,0.481294721364975,1.0,0.49810996134412133,1.0561592466111198,1,source,"[56, 56, 56, 56, 56, 56, 502, 502, 502, 502, 502]"
237,swap_object,incongruent,A cat looking at a tv monitor on a desk,A tv monitor looking at a cat on a desk.,"The TV monitor is positioned on a desk, and a cat is looking at it.",0.3989199697971344,0.1108111018889321,0.3989199697971344,1.0,0.37198965141220647,1.0276692308142987,1,source,"[56, 56, 56, 56, 56, 56, 362, 362, 362, 362, 362]"
209,swap_object,congruent,A person is holding a baby who is wrapped in a towel and holding a toothbrush,"The baby, who is wrapped in a towel and holding a toothbrush, is being held by a person.",A person is holding a toothbrush while the baby wrapped in a towel looks on.,0.4266263246536255,0.1185073110669734,0.4266263246536255,1.0,0.4277218778821272,1.035413447298468,1,target,"[215, 215, 215, 215, 215, 215, 504, 504, 504, 504, 504]"
209,swap_object,incongruent,A person is holding a baby who is wrapped in a towel and holding a toothbrush,A person is holding a toothbrush while the baby wrapped in a towel looks on.,"The baby, who is wrapped in a towel and holding a toothbrush, is being held by a person.",0.5039917826652527,0.13999771313152687,0.5039917826652527,1.0,0.5568668002755188,1.063538611276874,1,source,"[215, 215, 215, 215, 215, 215, 218, 218, 218, 218, 218]"
88,swap_object,congruent,A knit item sitting on a laptop on a desk.,"A knit item is positioned on top of a laptop, which is placed on a desk.",A laptop sitting on a knit item on a desk.,0.3788415789604187,0.10523377977977655,0.3788415789604187,1.0,0.33754067841888236,1.022589660191277,1,source,"[141, 141, 141, 141, 141, 140, 140, 140, 140, 140, 140]"
88,swap_object,incongruent,A knit item sitting on a laptop on a desk.,A laptop sitting on a knit item on a desk.,"A knit item is positioned on top of a laptop, which is placed on a desk.",0.4183366298675537,0.1162046162363293,0.4183366298675537,1.0,0.40085319589722884,1.0324796681154247,1,source,"[141, 141, 141, 141, 141, 141, 144, 144, 144, 144, 144]"
157,swap_object,congruent,A bed with stacked pillows is in a bedroom with a chair.,The stacked pillows are on a bed in a bedroom featuring a chair.,A chair with stacked pillows is in a bedroom with a bed.,0.4319571256637573,0.11998808700075553,0.4319571256637573,1.0,0.43211510863042235,1.0358860653818456,1,target,"[14, 14, 14, 14, 14, 14, 562, 562, 562, 562, 562]"
157,swap_object,incongruent,A bed with stacked pillows is in a bedroom with a chair.,A chair with stacked pillows is in a bedroom with a bed.,The stacked pillows are on a bed in a bedroom featuring a chair.,0.3478928506374359,0.09663689981352765,0.3478928506374359,1.0,0.2939536967803302,1.0160747439903315,1,target,"[14, 14, 14, 14, 14, 14, 61, 61, 61, 61, 61]"
24,swap_object,congruent,Small child getting their hair dried with a person standing behind them. ,A person stands behind a small child as she gets their hair dried.,A person getting his hair dried with a small child standing behind him.,0.47450393438339233,0.13180665156420102,0.47450393438339233,1.0,0.5079437431697139,1.052802927836364,1,target,"[486, 486, 486, 486, 486, 259, 259, 259, 259, 259, 259]"
24,swap_object,incongruent,Small child getting their hair dried with a person standing behind them. ,A person getting his hair dried with a small child standing behind him.,A person stands behind a small child as she gets their hair dried.,0.5155681371688843,0.1432133627566185,0.5155681371688843,1.0,0.5732591165889522,1.0712257843165973,1,source,"[486, 486, 486, 486, 486, 183, 183, 183, 183, 183, 183]"
43,swap_object,congruent,A large stack of trunks and luggage on a sidewalk with people behind it.,people positioned behind a huge pile of luggage and trunks placed on a sidewalk.,A large group of people on a sidewalk with trunks and luggage behind them.,0.5340318083763123,0.14834216976291983,0.5340318083763123,1.0,0.6296848309300042,1.0773108396220683,1,source,"[154, 154, 154, 154, 154, 154, 661, 661, 661, 661, 661]"
43,swap_object,incongruent,A large stack of trunks and luggage on a sidewalk with people behind it.,A large group of people on a sidewalk with trunks and luggage behind them.,people positioned behind a huge pile of luggage and trunks placed on a sidewalk.,0.6043915748596191,0.1678865467565742,0.6043915748596191,1.0,0.7416719294461336,1.113694871096681,1,source,"[154, 154, 154, 154, 154, 150, 150, 150, 150, 150, 150]"
132,swap_object,congruent,A city street with a rainbow in the background ,A rainbow visible in the background of a city street.,A rainbow with a city street in the background.,0.5599421262741089,0.15553949161128275,0.5599421262741089,1.0,0.6291729879127895,1.0977137968384654,1,target,"[66, 66, 66, 66, 66, 66, 293, 293, 293, 293, 293]"
132,swap_object,incongruent,A city street with a rainbow in the background ,A rainbow with a city street in the background.,A rainbow visible in the background of a city street.,0.44629448652267456,0.1239706922928835,0.44629448652267456,1.0,0.4658732018677431,1.0406435008669377,1,target,"[66, 66, 66, 66, 66, 66, 294, 294, 294, 294, 294]"
226,swap_object,congruent,Two stuffed animals are sitting on a broken wooden chair.,The wooden chair that is broken has two stuffed animals sitting on it.,A broken wooden chair is sitting on two stuffed animals.,0.4357830286026001,0.1210508382091356,0.4357830286026001,1.0,0.4237071673825968,1.0379714235738748,1,target,"[624, 624, 624, 624, 624, 580, 580, 580, 580, 580, 580]"
226,swap_object,incongruent,Two stuffed animals are sitting on a broken wooden chair.,A broken wooden chair is sitting on two stuffed animals.,The wooden chair that is broken has two stuffed animals sitting on it.,0.4567964971065521,0.12688792266559162,0.4567964971065521,1.0,0.45259952435136797,1.0459115629757147,1,target,"[624, 624, 624, 624, 624, 43, 43, 43, 43, 43, 43]"
104,swap_object,congruent,A bus loads and unloads passengers next to a plane.,A bus is loading and unloading passengers adjacent to a plane.,A plane loads and unloads passengers next to a bus.,0.365887314081192,0.10163537158859959,0.365887314081192,1.0,0.32850012557251823,1.0193871755784163,1,target,"[50, 50, 50, 50, 50, 49, 49, 49, 49, 49, 49]"
104,swap_object,incongruent,A bus loads and unloads passengers next to a plane.,A plane loads and unloads passengers next to a bus.,A bus is loading and unloading passengers adjacent to a plane.,0.3876853287220001,0.10769036645849549,0.3876853287220001,1.0,0.3646709808134048,1.0241387877071786,1,source,"[50, 50, 50, 50, 50, 50, 286, 286, 286, 286, 286]"
14,swap_object,congruent,A person with large black tear drop earrings and a black dress looks at their cell phone.,A person looking at their cell phone is wearing a black dress and large black tear-drop earrings.,A person with a cell phone and a black dress looks at their large black tear drop earrings.,0.3648379147052765,0.10134386131407827,0.3648379147052765,1.0,0.29732675323927205,1.0199139814160845,1,source,"[277, 277, 277, 277, 277, 233, 233, 233, 233, 233, 233]"
14,swap_object,incongruent,A person with large black tear drop earrings and a black dress looks at their cell phone.,A person with a cell phone and a black dress looks at their large black tear drop earrings.,A person looking at their cell phone is wearing a black dress and large black tear-drop earrings.,0.3415660262107849,0.0948794517775943,0.3415660262107849,1.0,0.2661138788841688,1.0153561195144398,1,target,"[277, 277, 277, 277, 277, 274, 274, 274, 274, 274, 274]"
213,swap_object,congruent,A person preparing food on a large old oven.,A person is preparing food on a large old oven.,A large old oven preparing food with a person standing next to it.,0.212262362241745,0.05896176655301547,0.212262362241745,1.0,0.11722463699323735,1.0023196430828296,1,source,"[243, 243, 243, 243, 243, 225, 225, 225, 225, 225, 225]"
213,swap_object,incongruent,A person preparing food on a large old oven.,A large old oven preparing food with a person standing next to it.,A person is preparing food on a large old oven.,0.560389518737793,0.15566375941025803,0.560389518737793,1.0,0.6688134883188596,1.088456351179787,1,source,"[243, 243, 243, 243, 243, 153, 153, 153, 153, 153, 153]"
140,swap_object,congruent,Half an eclair on a plate and a coffee mug on wooden table.,A coffee mug is on a wooden table and half of an eclair are positioned on a plate.,A coffee mug on a plate and half an eclair on wooden table.,0.427182674407959,0.11866185956014585,0.427182674407959,1.0,0.38496179834961586,1.0365575326153147,1,target,"[443, 443, 443, 443, 443, 71, 71, 71, 71, 71, 71]"
140,swap_object,incongruent,Half an eclair on a plate and a coffee mug on wooden table.,A coffee mug on a plate and half an eclair on wooden table.,A coffee mug is on a wooden table and half of an eclair are positioned on a plate.,0.3349605202674866,0.09304458574419765,0.3349605202674866,1.0,0.27402045927118956,1.0139191914364496,1,source,"[443, 443, 443, 443, 443, 72, 72, 72, 72, 72, 72]"
76,swap_object,congruent,"Three people on packed snow trail, two skiing, one walking.",Three individuals are on a packed snow trail with two of them skiing and the third one walking.,"Three people on packed snow trail, one skiing, two walking.",0.46287691593170166,0.12857692345992494,0.46287691593170166,1.0,0.48940301878674763,1.0471378774742912,1,source,"[593, 593, 593, 593, 593, 589, 589, 589, 589, 589, 589]"
76,swap_object,incongruent,"Three people on packed snow trail, two skiing, one walking.","Three people on packed snow trail, one skiing, two walking.",Three individuals are on a packed snow trail with two of them skiing and the third one walking.,0.1839497685432434,0.05109716088610567,0.1839497685432434,1.0,0.08555227419269441,1.0013114822213804,1,source,"[593, 593, 593, 593, 593, 592, 592, 592, 592, 592, 592]"
214,swap_object,congruent,A city scape scene .,a train yard is visible in the foreground of a cityscape scene.,A train yard scene with a city scape in the foreground.,0.9575175642967224,0.2659770891761092,0.9575175642967224,1.0,1.097166033426588,1.3328864439593335,1,source,"[65, 65, 65, 65, 65, 65, 653, 653, 653, 653, 653]"
214,swap_object,incongruent,A city scape scene .,A train yard scene with a city scape in the foreground.,a train yard is visible in the foreground of a cityscape scene.,0.8871697187423706,0.24643604170420716,0.8871697187423706,1.0,1.0306752135154431,1.2571687939937426,1,source,"[65, 65, 65, 65, 65, 65, 353, 353, 353, 353, 353]"
75,swap_object,congruent,A herd of cattle walking down a road being followed by a cowboy.,A cowboy is following a herd of cattle walking down a road.,A cowboy walking down a road being followed by a herd of cattle.,0.5288495421409607,0.14690266267515895,0.5288495421409607,1.0,0.5906693329528597,1.0777222276538962,1,source,"[130, 130, 130, 130, 130, 85, 85, 85, 85, 85, 85]"
75,swap_object,incongruent,A herd of cattle walking down a road being followed by a cowboy.,A cowboy walking down a road being followed by a herd of cattle.,A cowboy is following a herd of cattle walking down a road.,0.4397136867046356,0.12214269177782658,0.4397136867046356,1.0,0.4490500697224778,1.0398120321498499,1,source,"[130, 130, 130, 130, 130, 86, 86, 86, 86, 86, 86]"
133,swap_object,congruent,A person sitting in front of the Eiffel tower near pigeons.,"A person is surrounded by pigeons while sitting in front of the Eiffel tower, .",Pigeons sitting in front of the Eiffel tower near a person.,0.5206428170204163,0.144623000470583,0.5206428170204163,1.0,0.6003371680898016,1.070386935048766,1,target,"[251, 251, 251, 251, 251, 232, 232, 232, 232, 232, 232]"
133,swap_object,incongruent,A person sitting in front of the Eiffel tower near pigeons.,Pigeons sitting in front of the Eiffel tower near a person.,"A person is surrounded by pigeons while sitting in front of the Eiffel tower, .",0.4967363476753235,0.13798232087959514,0.4967363476753235,1.0,0.559865737983034,1.060161324890734,1,target,"[251, 251, 251, 251, 251, 251, 468, 468, 468, 468, 468]"
171,swap_object,congruent,A little child sits on a bed with a chair next to it.,A chair is positioned adjacent to a bed where a little child is seated.,A little child sits on a chair with a bed next to it.,0.6543936133384705,0.18177601499675936,0.6543936133384705,1.0,0.7935103512716963,1.1380301204473406,1,target,"[159, 159, 159, 159, 159, 60, 60, 60, 60, 60, 60]"
171,swap_object,incongruent,A little child sits on a bed with a chair next to it.,A little child sits on a chair with a bed next to it.,A chair is positioned adjacent to a bed where a little child is seated.,0.27060049772262573,0.07516680242341561,0.27060049772262573,1.0,0.18953033584677131,1.006085138352321,1,target,"[159, 159, 159, 159, 159, 159, 160, 160, 160, 160, 160]"
158,swap_object,congruent,"What appears to be a beach-side eatery has an outdoor area with a metal railing and high stools, the whole of which rests on a tilted walkway with a sign and a bench with a logo on it. ","The outdoor area of the beach-side eatery has a metal railing and high stools, which are positioned on a tilted walkway with a sign and a bench with a logo on it.","What appears to be a beach-side eatery has an outdoor area with high stools and a tilted walkway with a sign and a bench with a logo on it, the whole of which rests on a metal railing.",0.3793993592262268,0.10538871109033936,0.3793993592262268,1.0,0.33275225617307563,1.0224616828507331,1,source,"[631, 631, 631, 631, 631, 546, 546, 546, 546, 546, 546]"
158,swap_object,incongruent,"What appears to be a beach-side eatery has an outdoor area with a metal railing and high stools, the whole of which rests on a tilted walkway with a sign and a bench with a logo on it. ","What appears to be a beach-side eatery has an outdoor area with high stools and a tilted walkway with a sign and a bench with a logo on it, the whole of which rests on a metal railing.","The outdoor area of the beach-side eatery has a metal railing and high stools, which are positioned on a tilted walkway with a sign and a bench with a logo on it.",0.18006882071495056,0.05001911818187251,0.18006882071495056,1.0,0.07847164354854323,1.0012162193347236,1,source,"[631, 631, 631, 631, 631, 631, 632, 632, 632, 632, 632]"
242,swap_object,congruent,A person in uniform shows something on their cell phone to a group of children.,A person wearing uniform is displaying something on their cell phone to a group of kids.,A group of children in uniform show something on their cell phone to a person.,0.3141162693500519,0.08725451315266824,0.3141162693500519,1.0,0.24868457636750008,1.0109156200439438,1,source,"[209, 209, 209, 209, 209, 209, 271, 271, 271, 271, 271]"
242,swap_object,incongruent,A person in uniform shows something on their cell phone to a group of children.,A group of children in uniform show something on their cell phone to a person.,A person wearing uniform is displaying something on their cell phone to a group of kids.,0.5351473689079285,0.14865204491793665,0.5351473689079285,1.0,0.6191271097811971,1.075099844636877,1,target,"[209, 209, 209, 209, 209, 109, 109, 109, 109, 109, 109]"
71,swap_object,congruent,The stop sign is behind the fence instead of on the street.,"instead of on the street, a stop sign is positioned behind the fence.",The fence is behind the stop sign instead of on the street.,0.4211345911026001,0.1169818257799496,0.4211345911026001,1.0,0.4265762805839167,1.0328688651088944,1,source,"[563, 563, 563, 563, 563, 563, 659, 659, 659, 659, 659]"
71,swap_object,incongruent,The stop sign is behind the fence instead of on the street.,The fence is behind the stop sign instead of on the street.,"instead of on the street, a stop sign is positioned behind the fence.",0.40695011615753174,0.11304169514800792,0.40695011615753174,1.0,0.40226103244915296,1.0289533039522412,1,source,"[563, 563, 563, 563, 563, 520, 520, 520, 520, 520, 520]"
238,swap_object,congruent,A brown and black cat laying on laptop next to a chair.,"A cat, which is black and brown, is positioned on top of a laptop that is adjacent to a chair.",A brown and black cat laying on a chair next to a laptop.,0.5972833037376404,0.16591203275677852,0.5972833037376404,1.0,0.716706919953461,1.1055441450617807,1,source,"[45, 45, 45, 45, 45, 45, 58, 58, 58, 58, 58]"
238,swap_object,incongruent,A brown and black cat laying on laptop next to a chair.,A brown and black cat laying on a chair next to a laptop.,"A cat, which is black and brown, is positioned on top of a laptop that is adjacent to a chair.",0.25254204869270325,0.07015056829432725,0.25254204869270325,1.0,0.16376839370213128,1.004666480556863,1,source,"[45, 45, 45, 45, 45, 44, 44, 44, 44, 44, 44]"
177,swap_object,congruent,A person is in the ocean waves near their surfboard with a dog on it.,The person is near their surfboard in the ocean waves with a dog positioned on it.,A dog is in the ocean waves near its surfboard with a person on it.,0.3539638817310333,0.09832330082469058,0.3539638817310333,1.0,0.310268916061033,1.0171953881178362,1,source,"[220, 220, 220, 220, 220, 220, 551, 551, 551, 551, 551]"
177,swap_object,incongruent,A person is in the ocean waves near their surfboard with a dog on it.,A dog is in the ocean waves near its surfboard with a person on it.,The person is near their surfboard in the ocean waves with a dog positioned on it.,0.5103764533996582,0.14177123310223935,0.5103764533996582,1.0,0.5770921883494025,1.064518149331875,1,source,"[220, 220, 220, 220, 220, 88, 88, 88, 88, 88, 88]"
