example_id,subset,pair_type,source_text,target_text,alternate_text,retrieval_t0,retrieval_t02,retrieval_t05,retrieval_t08,retrieval_t10,off_manifold_mean,detour_ratio,dual_detour_ratio
151,swap_object,congruent,An attractive young person leads a grey horse through a paddock.,A grey horse is led by an young person who looks attractive through a paddock.,A grey horse leads an attractive young person through a paddock.,An attractive young person leads a grey horse through a paddock.,An attractive young person leads a grey horse through a paddock.,A grey horse is led by an young person who looks attractive through a paddock.,A grey horse is led by an young person who looks attractive through a paddock.,A grey horse is led by an young person who looks attractive through a paddock.,0.11449818779213101,1.0,1.0317438984206344
151,swap_object,incongruent,An attractive young person leads a grey horse through a paddock.,A grey horse leads an attractive young person through a paddock.,A grey horse is led by an young person who looks attractive through a paddock.,An attractive young person leads a grey horse through a paddock.,An attractive young person leads a grey horse through a paddock.,A grey horse leads an attractive young person through a paddock.,A grey horse leads an attractive young person through a paddock.,A grey horse leads an attractive young person through a paddock.,0.10935744298808853,1.0,1.0264576666393268
45,swap_object,congruent,A person holding a frisbee in a parking lot near water.,A person in a parking lot close to water is holding a frisbee.,A person near a frisbee in a parking lot holding water.,A person holding a frisbee in a parking lot near water.,A person holding a frisbee in a parking lot near water.,A person holding a frisbee in a parking lot near water.,A person in a parking lot close to water is holding a frisbee.,A person in a parking lot close to water is holding a frisbee.,0.105694198908576,1.0,1.0226145887733833
45,swap_object,incongruent,A person holding a frisbee in a parking lot near water.,A person near a frisbee in a parking lot holding water.,A person in a parking lot close to water is holding a frisbee.,A person holding a frisbee in a parking lot near water.,A person holding a frisbee in a parking lot near water.,A person holding a frisbee in a parking lot near water.,A person near a frisbee in a parking lot holding water.,A person near a frisbee in a parking lot holding water.,0.13476593530382802,1.0,1.0542758668827878
113,swap_object,congruent,Donuts in a box and a type of meat on a plate.,a type of meat is on a plate along with donuts in a box.,A type of meat in a box and donuts on a plate.,Donuts in a box and a type of meat on a plate.,Donuts in a box and a type of meat on a plate.,Donuts in a box and a type of meat on a plate.,a type of meat is on a plate along with donuts in a box.,a type of meat is on a plate along with donuts in a box.,0.13751637310075088,1.0,1.0608250470480927
113,swap_object,incongruent,Donuts in a box and a type of meat on a plate.,A type of meat in a box and donuts on a plate.,a type of meat is on a plate along with donuts in a box.,Donuts in a box and a type of meat on a plate.,Donuts in a box and a type of meat on a plate.,A type of meat in a box and donuts on a plate.,A type of meat in a box and donuts on a plate.,A type of meat in a box and donuts on a plate.,0.09752121829797061,1.0,1.0168842814093206
126,swap_object,congruent,A toilet with a black seat next to a shower.,The shower is adjacent to the toilet with a black seat.,A shower with a black seat next to a toilet.,A toilet with a black seat next to a shower.,A toilet with a black seat next to a shower.,A toilet with a black seat next to a shower.,The shower is adjacent to the toilet with a black seat.,The shower is adjacent to the toilet with a black seat.,0.14833155894214387,1.0,1.0815405856935154
126,swap_object,incongruent,A toilet with a black seat next to a shower.,A shower with a black seat next to a toilet.,The shower is adjacent to the toilet with a black seat.,A toilet with a black seat next to a shower.,A toilet with a black seat next to a shower.,A shower with a black seat next to a toilet.,A shower with a black seat next to a toilet.,A shower with a black seat next to a toilet.,0.11301400735670014,1.0,1.0287170199909081
234,swap_object,congruent,A girl in a floral dress sitting next to a boy in a blue shirt eating food. ,A girl in a floral dress sits beside a boy in a blue shirt as they eat.,A boy in a floral dress sitting next to a girl in a blue shirt eating food.,A girl in a floral dress sitting next to a boy in a blue shirt eating food. ,A girl in a floral dress sitting next to a boy in a blue shirt eating food. ,A girl in a floral dress sits beside a boy in a blue shirt as they eat.,A girl in a floral dress sits beside a boy in a blue shirt as they eat.,A girl in a floral dress sits beside a boy in a blue shirt as they eat.,0.1145907894595117,1.0,1.0308066436626808
234,swap_object,incongruent,A girl in a floral dress sitting next to a boy in a blue shirt eating food. ,A boy in a floral dress sitting next to a girl in a blue shirt eating food.,A girl in a floral dress sits beside a boy in a blue shirt as they eat.,A girl in a floral dress sitting next to a boy in a blue shirt eating food. ,A girl in a floral dress sitting next to a boy in a blue shirt eating food. ,A boy in a floral dress sitting next to a girl in a blue shirt eating food.,A boy in a floral dress sitting next to a girl in a blue shirt eating food.,A boy in a floral dress sitting next to a girl in a blue shirt eating food.,0.10982594776291751,1.0,1.0263813010310514
241,swap_object,congruent,A group of people in a park with a tall clock tower in the background.,A tall clock tower is in the background of a group of people in a park.,A tall clock tower in a park with a group of people in the background.,A group of people in a park with a tall clock tower in the background.,A group of people in a park with a tall clock tower in the background.,A group of people in a park with a tall clock tower in the background.,A tall clock tower is in the background of a group of people in a park.,A tall clock tower is in the background of a group of people in a park.,0.1261833504757867,1.0,1.043260043291424
241,swap_object,incongruent,A group of people in a park with a tall clock tower in the background.,A tall clock tower in a park with a group of people in the background.,A tall clock tower is in the background of a group of people in a park.,A group of people in a park with a tall clock tower in the background.,A group of people in a park with a tall clock tower in the background.,A group of people in a park with a tall clock tower in the background.,A tall clock tower in a park with a group of people in the background.,A tall clock tower in a park with a group of people in the background.,0.12754560603290874,1.0,1.0451471528278706
31,swap_object,congruent,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,"Two sets of hands, each holding a cell phone, are positioned in front of another hand in the background that is holding a glass.",Two sets of hands are each holding a glass while another hand in the background is holding a cell phone.,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,"Two sets of hands, each holding a cell phone, are positioned in front of another hand in the background that is holding a glass.","Two sets of hands, each holding a cell phone, are positioned in front of another hand in the background that is holding a glass.",0.07329257714938564,1.0,1.0055034716126663
31,swap_object,incongruent,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,Two sets of hands are each holding a glass while another hand in the background is holding a cell phone.,"Two sets of hands, each holding a cell phone, are positioned in front of another hand in the background that is holding a glass.",Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,Two sets of hands are each holding a glass while another hand in the background is holding a cell phone.,Two sets of hands are each holding a glass while another hand in the background is holding a cell phone.,0.08165474477710231,1.0,1.0084997731766603
96,swap_object,congruent,A couple of guys are sitting with their luggage bag as a lady walks on. ,A lady walks on while a couple of guys are sitting with their luggage bag.,A lady is sitting with her luggage bag as a couple of guys walk on.,A couple of guys are sitting with their luggage bag as a lady walks on. ,A couple of guys are sitting with their luggage bag as a lady walks on. ,A couple of guys are sitting with their luggage bag as a lady walks on. ,A lady walks on while a couple of guys are sitting with their luggage bag.,A lady walks on while a couple of guys are sitting with their luggage bag.,0.14450731893261853,1.0,1.0722906713662492
96,swap_object,incongruent,A couple of guys are sitting with their luggage bag as a lady walks on. ,A lady is sitting with her luggage bag as a couple of guys walk on.,A lady walks on while a couple of guys are sitting with their luggage bag.,A couple of guys are sitting with their luggage bag as a lady walks on. ,A couple of guys are sitting with their luggage bag as a lady walks on. ,A couple of guys are sitting with their luggage bag as a lady walks on. ,A lady is sitting with her luggage bag as a couple of guys walk on.,A lady is sitting with her luggage bag as a couple of guys walk on.,0.12977113131844895,1.0,1.049606111105656
36,swap_object,congruent,A statue with two stuffed animals on top of it sitting in a patch of dirt.,A statue  is placed in a patch of dirt with two stuffed animals positioned on top of it.,Two stuffed animals with a statue on top of them sitting in a patch of dirt.,A statue with two stuffed animals on top of it sitting in a patch of dirt.,A statue with two stuffed animals on top of it sitting in a patch of dirt.,A statue  is placed in a patch of dirt with two stuffed animals positioned on top of it.,A statue  is placed in a patch of dirt with two stuffed animals positioned on top of it.,A statue  is placed in a patch of dirt with two stuffed animals positioned on top of it.,0.10462421289657911,1.0,1.0217283474822305
36,swap_object,incongruent,A statue with two stuffed animals on top of it sitting in a patch of dirt.,Two stuffed animals with a statue on top of them sitting in a patch of dirt.,A statue  is placed in a patch of dirt with two stuffed animals positioned on top of it.,A statue with two stuffed animals on top of it sitting in a patch of dirt.,A statue with two stuffed animals on top of it sitting in a patch of dirt.,A statue with two stuffed animals on top of it sitting in a patch of dirt.,Two stuffed animals with a statue on top of them sitting in a patch of dirt.,Two stuffed animals with a statue on top of them sitting in a patch of dirt.,0.10020967808413478,1.0,1.0183968694602685
18,swap_object,congruent,Luggage is arranged in groups  on a concrete  platform.,Luggage is placed on a concrete platform and is organized in groups.,A concrete platform is arranged in groups with luggage on it.,Luggage is arranged in groups  on a concrete  platform.,Luggage is arranged in groups  on a concrete  platform.,Luggage is arranged in groups  on a concrete  platform.,Luggage is placed on a concrete platform and is organized in groups.,Luggage is placed on a concrete platform and is organized in groups.,0.09124143027669157,1.0,1.0128029563161278
18,swap_object,incongruent,Luggage is arranged in groups  on a concrete  platform.,A concrete platform is arranged in groups with luggage on it.,Luggage is placed on a concrete platform and is organized in groups.,Luggage is arranged in groups  on a concrete  platform.,Luggage is arranged in groups  on a concrete  platform.,A concrete platform is arranged in groups with luggage on it.,A concrete platform is arranged in groups with luggage on it.,A concrete platform is arranged in groups with luggage on it.,0.11421629045914167,1.0,1.0299664609480967
172,swap_object,congruent,A person sits on a bench as people walk down a sidewalk. ,People walk down a sidewalk while a person sits on a bench.,People sit on a bench as a person walks down a sidewalk.,A person sits on a bench as people walk down a sidewalk. ,A person sits on a bench as people walk down a sidewalk. ,A person sits on a bench as people walk down a sidewalk. ,People walk down a sidewalk while a person sits on a bench.,People walk down a sidewalk while a person sits on a bench.,0.17183765245349758,1.0,1.1317798176841005
172,swap_object,incongruent,A person sits on a bench as people walk down a sidewalk. ,People sit on a bench as a person walks down a sidewalk.,People walk down a sidewalk while a person sits on a bench.,A person sits on a bench as people walk down a sidewalk. ,A person sits on a bench as people walk down a sidewalk. ,A person sits on a bench as people walk down a sidewalk. ,People sit on a bench as a person walks down a sidewalk.,People sit on a bench as a person walks down a sidewalk.,0.13727883951875816,1.0,1.0596798371007112
227,swap_object,congruent,Vegetable pieces and knife are kept on cutting board. Cabbage is on the table.,"Knife and vegetable pieces are positioned on the cutting board, while cabbage is located on the table.",Vegetable pieces and knife are kept on table. Cabbage is on the cutting board.,Vegetable pieces and knife are kept on cutting board. Cabbage is on the table.,Vegetable pieces and knife are kept on cutting board. Cabbage is on the table.,"Knife and vegetable pieces are positioned on the cutting board, while cabbage is located on the table.","Knife and vegetable pieces are positioned on the cutting board, while cabbage is located on the table.","Knife and vegetable pieces are positioned on the cutting board, while cabbage is located on the table.",0.11137418590371823,1.0,1.0280810948697239
227,swap_object,incongruent,Vegetable pieces and knife are kept on cutting board. Cabbage is on the table.,Vegetable pieces and knife are kept on table. Cabbage is on the cutting board.,"Knife and vegetable pieces are positioned on the cutting board, while cabbage is located on the table.",Vegetable pieces and knife are kept on cutting board. Cabbage is on the table.,Vegetable pieces and knife are kept on cutting board. Cabbage is on the table.,Vegetable pieces and knife are kept on cutting board. Cabbage is on the table.,Vegetable pieces and knife are kept on table. Cabbage is on the cutting board.,Vegetable pieces and knife are kept on table. Cabbage is on the cutting board.,0.06024602926276763,1.0,1.002497960127128
179,swap_object,congruent,A person holds a carrot in their right hand with a beverage in the other.,The person holds a beverage in their left hand and a carrot in their other hand.,A person holds a beverage in their right hand with a carrot in the other.,A person holds a carrot in their right hand with a beverage in the other.,A person holds a carrot in their right hand with a beverage in the other.,A person holds a carrot in their right hand with a beverage in the other.,The person holds a beverage in their left hand and a carrot in their other hand.,The person holds a beverage in their left hand and a carrot in their other hand.,0.09525165516821461,1.0,1.0156238624338925
179,swap_object,incongruent,A person holds a carrot in their right hand with a beverage in the other.,A person holds a beverage in their right hand with a carrot in the other.,The person holds a beverage in their left hand and a carrot in their other hand.,A person holds a carrot in their right hand with a beverage in the other.,A person holds a carrot in their right hand with a beverage in the other.,A person holds a beverage in their right hand with a carrot in the other.,A person holds a beverage in their right hand with a carrot in the other.,A person holds a beverage in their right hand with a carrot in the other.,0.07432432488578639,1.0,1.005760884691086
237,swap_object,congruent,A cat looking at a tv monitor on a desk,"The TV monitor is positioned on a desk, and a cat is looking at it.",A tv monitor looking at a cat on a desk.,A cat looking at a tv monitor on a desk,A cat looking at a tv monitor on a desk,A cat looking at a tv monitor on a desk,"The TV monitor is positioned on a desk, and a cat is looking at it.","The TV monitor is positioned on a desk, and a cat is looking at it.",0.13369297768282695,1.0,1.0561592466111198
237,swap_object,incongruent,A cat looking at a tv monitor on a desk,A tv monitor looking at a cat on a desk.,"The TV monitor is positioned on a desk, and a cat is looking at it.",A cat looking at a tv monitor on a desk,A cat looking at a tv monitor on a desk,A cat looking at a tv monitor on a desk,A tv monitor looking at a cat on a desk.,A tv monitor looking at a cat on a desk.,0.1108111018889321,1.0,1.0276692308142987
209,swap_object,congruent,A person is holding a baby who is wrapped in a towel and holding a toothbrush,"The baby, who is wrapped in a towel and holding a toothbrush, is being held by a person.",A person is holding a toothbrush while the baby wrapped in a towel looks on.,A person is holding a baby who is wrapped in a towel and holding a toothbrush,A person is holding a baby who is wrapped in a towel and holding a toothbrush,A person is holding a baby who is wrapped in a towel and holding a toothbrush,"The baby, who is wrapped in a towel and holding a toothbrush, is being held by a person.","The baby, who is wrapped in a towel and holding a toothbrush, is being held by a person.",0.1185073110669734,1.0,1.035413447298468
209,swap_object,incongruent,A person is holding a baby who is wrapped in a towel and holding a toothbrush,A person is holding a toothbrush while the baby wrapped in a towel looks on.,"The baby, who is wrapped in a towel and holding a toothbrush, is being held by a person.",A person is holding a baby who is wrapped in a towel and holding a toothbrush,A person is holding a baby who is wrapped in a towel and holding a toothbrush,A person is holding a baby who is wrapped in a towel and holding a toothbrush,A person is holding a toothbrush while the baby wrapped in a towel looks on.,A person is holding a toothbrush while the baby wrapped in a towel looks on.,0.13999771313152687,1.0,1.063538611276874
88,swap_object,congruent,A knit item sitting on a laptop on a desk.,"A knit item is positioned on top of a laptop, which is placed on a desk.",A laptop sitting on a knit item on a desk.,A knit item sitting on a laptop on a desk.,A knit item sitting on a laptop on a desk.,"A knit item is positioned on top of a laptop, which is placed on a desk.","A knit item is positioned on top of a laptop, which is placed on a desk.","A knit item is positioned on top of a laptop, which is placed on a desk.",0.10523377977977655,1.0,1.022589660191277
88,swap_object,incongruent,A knit item sitting on a laptop on a desk.,A laptop sitting on a knit item on a desk.,"A knit item is positioned on top of a laptop, which is placed on a desk.",A knit item sitting on a laptop on a desk.,A knit item sitting on a laptop on a desk.,A knit item sitting on a laptop on a desk.,A laptop sitting on a knit item on a desk.,A laptop sitting on a knit item on a desk.,0.1162046162363293,1.0,1.0324796681154247
157,swap_object,congruent,A bed with stacked pillows is in a bedroom with a chair.,The stacked pillows are on a bed in a bedroom featuring a chair.,A chair with stacked pillows is in a bedroom with a bed.,A bed with stacked pillows is in a bedroom with a chair.,A bed with stacked pillows is in a bedroom with a chair.,A bed with stacked pillows is in a bedroom with a chair.,The stacked pillows are on a bed in a bedroom featuring a chair.,The stacked pillows are on a bed in a bedroom featuring a chair.,0.11998808700075553,1.0,1.0358860653818456
157,swap_object,incongruent,A bed with stacked pillows is in a bedroom with a chair.,A chair with stacked pillows is in a bedroom with a bed.,The stacked pillows are on a bed in a bedroom featuring a chair.,A bed with stacked pillows is in a bedroom with a chair.,A bed with stacked pillows is in a bedroom with a chair.,A bed with stacked pillows is in a bedroom with a chair.,A chair with stacked pillows is in a bedroom with a bed.,A chair with stacked pillows is in a bedroom with a bed.,0.09663689981352765,1.0,1.0160747439903315
24,swap_object,congruent,Small child getting their hair dried with a person standing behind them. ,A person stands behind a small child as she gets their hair dried.,A person getting his hair dried with a small child standing behind him.,Small child getting their hair dried with a person standing behind them. ,Small child getting their hair dried with a person standing behind them. ,A person stands behind a small child as she gets their hair dried.,A person stands behind a small child as she gets their hair dried.,A person stands behind a small child as she gets their hair dried.,0.13180665156420102,1.0,1.052802927836364
24,swap_object,incongruent,Small child getting their hair dried with a person standing behind them. ,A person getting his hair dried with a small child standing behind him.,A person stands behind a small child as she gets their hair dried.,Small child getting their hair dried with a person standing behind them. ,Small child getting their hair dried with a person standing behind them. ,A person getting his hair dried with a small child standing behind him.,A person getting his hair dried with a small child standing behind him.,A person getting his hair dried with a small child standing behind him.,0.1432133627566185,1.0,1.0712257843165973
43,swap_object,congruent,A large stack of trunks and luggage on a sidewalk with people behind it.,people positioned behind a huge pile of luggage and trunks placed on a sidewalk.,A large group of people on a sidewalk with trunks and luggage behind them.,A large stack of trunks and luggage on a sidewalk with people behind it.,A large stack of trunks and luggage on a sidewalk with people behind it.,A large stack of trunks and luggage on a sidewalk with people behind it.,people positioned behind a huge pile of luggage and trunks placed on a sidewalk.,people positioned behind a huge pile of luggage and trunks placed on a sidewalk.,0.14834216976291983,1.0,1.0773108396220683
43,swap_object,incongruent,A large stack of trunks and luggage on a sidewalk with people behind it.,A large group of people on a sidewalk with trunks and luggage behind them.,people positioned behind a huge pile of luggage and trunks placed on a sidewalk.,A large stack of trunks and luggage on a sidewalk with people behind it.,A large stack of trunks and luggage on a sidewalk with people behind it.,A large group of people on a sidewalk with trunks and luggage behind them.,A large group of people on a sidewalk with trunks and luggage behind them.,A large group of people on a sidewalk with trunks and luggage behind them.,0.1678865467565742,1.0,1.113694871096681
132,swap_object,congruent,A city street with a rainbow in the background ,A rainbow visible in the background of a city street.,A rainbow with a city street in the background.,A city street with a rainbow in the background ,A city street with a rainbow in the background ,A city street with a rainbow in the background ,A rainbow visible in the background of a city street.,A rainbow visible in the background of a city street.,0.15553949161128275,1.0,1.0977137968384654
132,swap_object,incongruent,A city street with a rainbow in the background ,A rainbow with a city street in the background.,A rainbow visible in the background of a city street.,A city street with a rainbow in the background ,A city street with a rainbow in the background ,A city street with a rainbow in the background ,A rainbow with a city street in the background.,A rainbow with a city street in the background.,0.1239706922928835,1.0,1.0406435008669377
226,swap_object,congruent,Two stuffed animals are sitting on a broken wooden chair.,The wooden chair that is broken has two stuffed animals sitting on it.,A broken wooden chair is sitting on two stuffed animals.,Two stuffed animals are sitting on a broken wooden chair.,Two stuffed animals are sitting on a broken wooden chair.,The wooden chair that is broken has two stuffed animals sitting on it.,The wooden chair that is broken has two stuffed animals sitting on it.,The wooden chair that is broken has two stuffed animals sitting on it.,0.1210508382091356,1.0,1.0379714235738748
226,swap_object,incongruent,Two stuffed animals are sitting on a broken wooden chair.,A broken wooden chair is sitting on two stuffed animals.,The wooden chair that is broken has two stuffed animals sitting on it.,Two stuffed animals are sitting on a broken wooden chair.,Two stuffed animals are sitting on a broken wooden chair.,A broken wooden chair is sitting on two stuffed animals.,A broken wooden chair is sitting on two stuffed animals.,A broken wooden chair is sitting on two stuffed animals.,0.12688792266559162,1.0,1.0459115629757147
104,swap_object,congruent,A bus loads and unloads passengers next to a plane.,A bus is loading and unloading passengers adjacent to a plane.,A plane loads and unloads passengers next to a bus.,A bus loads and unloads passengers next to a plane.,A bus loads and unloads passengers next to a plane.,A bus is loading and unloading passengers adjacent to a plane.,A bus is loading and unloading passengers adjacent to a plane.,A bus is loading and unloading passengers adjacent to a plane.,0.10163537158859959,1.0,1.0193871755784163
104,swap_object,incongruent,A bus loads and unloads passengers next to a plane.,A plane loads and unloads passengers next to a bus.,A bus is loading and unloading passengers adjacent to a plane.,A bus loads and unloads passengers next to a plane.,A bus loads and unloads passengers next to a plane.,A bus loads and unloads passengers next to a plane.,A plane loads and unloads passengers next to a bus.,A plane loads and unloads passengers next to a bus.,0.10769036645849549,1.0,1.0241387877071786
14,swap_object,congruent,A person with large black tear drop earrings and a black dress looks at their cell phone.,A person looking at their cell phone is wearing a black dress and large black tear-drop earrings.,A person with a cell phone and a black dress looks at their large black tear drop earrings.,A person with large black tear drop earrings and a black dress looks at their cell phone.,A person with large black tear drop earrings and a black dress looks at their cell phone.,A person looking at their cell phone is wearing a black dress and large black tear-drop earrings.,A person looking at their cell phone is wearing a black dress and large black tear-drop earrings.,A person looking at their cell phone is wearing a black dress and large black tear-drop earrings.,0.10134386131407827,1.0,1.0199139814160845
14,swap_object,incongruent,A person with large black tear drop earrings and a black dress looks at their cell phone.,A person with a cell phone and a black dress looks at their large black tear drop earrings.,A person looking at their cell phone is wearing a black dress and large black tear-drop earrings.,A person with large black tear drop earrings and a black dress looks at their cell phone.,A person with large black tear drop earrings and a black dress looks at their cell phone.,A person with a cell phone and a black dress looks at their large black tear drop earrings.,A person with a cell phone and a black dress looks at their large black tear drop earrings.,A person with a cell phone and a black dress looks at their large black tear drop earrings.,0.0948794517775943,1.0,1.0153561195144398
213,swap_object,congruent,A person preparing food on a large old oven.,A person is preparing food on a large old oven.,A large old oven preparing food with a person standing next to it.,A person preparing food on a large old oven.,A person preparing food on a large old oven.,A person is preparing food on a large old oven.,A person is preparing food on a large old oven.,A person is preparing food on a large old oven.,0.05896176655301547,1.0,1.0023196430828296
213,swap_object,incongruent,A person preparing food on a large old oven.,A large old oven preparing food with a person standing next to it.,A person is preparing food on a large old oven.,A person preparing food on a large old oven.,A person preparing food on a large old oven.,A large old oven preparing food with a person standing next to it.,A large old oven preparing food with a person standing next to it.,A large old oven preparing food with a person standing next to it.,0.15566375941025803,1.0,1.088456351179787
140,swap_object,congruent,Half an eclair on a plate and a coffee mug on wooden table.,A coffee mug is on a wooden table and half of an eclair are positioned on a plate.,A coffee mug on a plate and half an eclair on wooden table.,Half an eclair on a plate and a coffee mug on wooden table.,Half an eclair on a plate and a coffee mug on wooden table.,A coffee mug is on a wooden table and half of an eclair are positioned on a plate.,A coffee mug is on a wooden table and half of an eclair are positioned on a plate.,A coffee mug is on a wooden table and half of an eclair are positioned on a plate.,0.11866185956014585,1.0,1.0365575326153147
140,swap_object,incongruent,Half an eclair on a plate and a coffee mug on wooden table.,A coffee mug on a plate and half an eclair on wooden table.,A coffee mug is on a wooden table and half of an eclair are positioned on a plate.,Half an eclair on a plate and a coffee mug on wooden table.,Half an eclair on a plate and a coffee mug on wooden table.,A coffee mug on a plate and half an eclair on wooden table.,A coffee mug on a plate and half an eclair on wooden table.,A coffee mug on a plate and half an eclair on wooden table.,0.09304458574419765,1.0,1.0139191914364496
76,swap_object,congruent,"Three people on packed snow trail, two skiing, one walking.",Three individuals are on a packed snow trail with two of them skiing and the third one walking.,"Three people on packed snow trail, one skiing, two walking.","Three people on packed snow trail, two skiing, one walking.","Three people on packed snow trail, two skiing, one walking.",Three individuals are on a packed snow trail with two of them skiing and the third one walking.,Three individuals are on a packed snow trail with two of them skiing and the third one walking.,Three individuals are on a packed snow trail with two of them skiing and the third one walking.,0.12857692345992494,1.0,1.0471378774742912
76,swap_object,incongruent,"Three people on packed snow trail, two skiing, one walking.","Three people on packed snow trail, one skiing, two walking.",Three individuals are on a packed snow trail with two of them skiing and the third one walking.,"Three people on packed snow trail, two skiing, one walking.","Three people on packed snow trail, two skiing, one walking.","Three people on packed snow trail, one skiing, two walking.","Three people on packed snow trail, one skiing, two walking.","Three people on packed snow trail, one skiing, two walking.",0.05109716088610567,1.0,1.0013114822213804
214,swap_object,congruent,A city scape scene .,a train yard is visible in the foreground of a cityscape scene.,A train yard scene with a city scape in the foreground.,A city scape scene .,A city scape scene .,A city scape scene .,a train yard is visible in the foreground of a cityscape scene.,a train yard is visible in the foreground of a cityscape scene.,0.2659770891761092,1.0,1.3328864439593335
214,swap_object,incongruent,A city scape scene .,A train yard scene with a city scape in the foreground.,a train yard is visible in the foreground of a cityscape scene.,A city scape scene .,A city scape scene .,A city scape scene .,A train yard scene with a city scape in the foreground.,A train yard scene with a city scape in the foreground.,0.24643604170420716,1.0,1.2571687939937426
